,Open,High,Low,Close,Adj Close,Volume,MA50,MA200
0,118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,118.41085052490234,112559200,116.92299942016602,88.5934997177124
1,121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,116.75303649902344,115393800,117.02534942626953,88.81316219329834
2,119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,113.77094268798828,120639300,117.12269943237305,89.02127471923828
3,116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,115.27178955078125,124423700,117.21834945678711,89.23407474517822
4,116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,114.64399719238281,89946000,117.36824951171874,89.44543724060058
5,117.44999694824219,118.04000091552734,114.58999633789062,115.75,113.54533386230469,101988000,117.42304946899414,89.64519973754882
6,116.38999938964844,116.55000305175781,114.27999877929688,115.04000091552734,112.8488540649414,82572600,117.42364944458008,89.83336223602295
7,114.01000213623047,116.55000305175781,112.87999725341797,115.05000305175781,112.85865783691406,111850700,117.42649948120118,90.02069976806641
8,115.48999786376953,117.27999877929688,114.54000091552734,116.5999984741211,114.37914276123047,92276800,117.46634948730468,90.20749977111817
9,115.05000305175781,115.43000030517578,111.0999984741211,111.19999694824219,109.08197784423828,143937800,117.37909942626953,90.37264976501464
10,112.37000274658203,116.93000030517578,112.19999694824219,115.31999969482422,113.1235122680664,146129200,117.37134948730468,90.5600747680664
11,111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156,106.78655242919922,190272600,117.18304946899414,90.71032478332519
12,109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,106.69827270507812,122866900,116.87104934692383,90.85576225280762
13,109.66000366210938,111.48999786376953,108.7300033569336,110.44000244140625,108.33646392822266,107624400,116.56269943237305,91.01224975585937
14,114.13999938964844,115.58999633789062,112.3499984741211,114.94999694824219,112.76056671142578,138235500,116.36519943237305,91.1898747253418
15,117.94999694824219,119.62000274658203,116.87000274658203,119.02999877929688,116.76285552978516,126387100,116.21534942626953,91.38598720550537
16,118.31999969482422,119.19999694824219,116.12999725341797,118.69000244140625,116.63020324707031,114457900,116.08894943237304,91.58154972076416
17,120.5,121.98999786376953,116.05000305175781,116.31999969482422,114.30133056640625,154515300,115.9191993713379,91.7769622039795
18,115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,113.95738983154297,138023400,115.6577995300293,91.95969970703125
19,117.19000244140625,119.62999725341797,116.44000244140625,119.48999786376953,117.41631317138672,112295000,115.36399963378906,92.15172470092773
20,119.62000274658203,120.52999877929688,118.56999969482422,119.20999908447266,117.14117431640625,103162300,115.12019973754883,92.34293720245361
21,119.44000244140625,119.66999816894531,117.87000274658203,119.26000213623047,117.1903076171875,81581900,115.08779983520508,92.55234970092773
22,118.91999816894531,120.98999786376953,118.1500015258789,120.30000305175781,118.2122573852539,91183000,115.07459991455079,92.76802471160889
23,119.55000305175781,120.66999816894531,118.95999908447266,119.38999938964844,117.31805419921875,74271000,115.20599990844727,92.96641220092773
24,118.61000061035156,119.81999969482422,118.0,118.02999877929688,115.98165130615234,76322100,115.22019989013671,93.15474967956543
25,117.58999633789062,119.05999755859375,116.80999755859375,118.63999938964844,116.58106231689453,74113000,115.3231999206543,93.34143718719483
26,118.63999938964844,118.7699966430664,117.29000091552734,117.33999633789062,115.30361938476562,73604300,115.4299998474121,93.52809967041016
27,117.18000030517578,117.62000274658203,113.75,113.8499984741211,111.87419891357422,127959300,115.3997998046875,93.69541217803955
28,113.91000366210938,115.8499984741211,112.58999633789062,115.16999816894531,113.1712875366211,113874200,115.39239974975585,93.87174968719482
29,115.55000305175781,116.75,115.16999816894531,116.02999877929688,114.01634979248047,76499200,115.47039978027344,94.04289966583252
30,116.56999969482422,117.48999786376953,116.22000122070312,116.58999633789062,114.566650390625,46691300,115.59539978027344,94.21976215362548
31,116.97000122070312,120.97000122070312,116.80999755859375,119.05000305175781,116.98395538330078,169410200,115.83959991455077,94.40882465362549
32,121.01000213623047,123.47000122070312,120.01000213623047,122.72000122070312,120.59026336669922,127728200,116.09239990234374,94.623674659729
33,122.0199966430664,123.37000274658203,120.88999938964844,123.08000183105469,120.94401550292969,89004200,116.31779998779297,94.8345496749878
34,123.5199966430664,123.77999877929688,122.20999908447266,122.94000244140625,120.80644226074219,78967600,116.63419998168945,95.04887470245362
35,122.5999984741211,122.86000061035156,121.5199966430664,122.25,120.12841796875,78260400,116.91479995727539,95.26881221771241
36,122.30999755859375,124.56999969482422,122.25,123.75,121.6023941040039,86712000,117.14419998168945,95.51483722686767
37,124.37000274658203,124.9800033569336,123.08999633789062,124.37999725341797,122.221435546875,82225500,117.33259994506835,95.77663722991943
38,124.52999877929688,125.94999694824219,121.0,121.77999877929688,119.66658020019531,115089200,117.48639999389648,96.01972473144531
39,120.5,123.87000274658203,120.1500015258789,123.23999786376953,121.10124206542969,81312200,117.635,96.29402473449707
40,122.43000030517578,122.76000213623047,120.55000305175781,122.41000366210938,120.28564453125,86939800,117.74740005493165,96.56437477111817
41,122.5999984741211,123.3499984741211,121.54000091552734,121.77999877929688,119.66658020019531,79184500,117.92260009765624,96.7997622680664
42,124.33999633789062,127.9000015258789,124.12999725341797,127.87999725341797,125.66071319580078,157243700,118.1502000427246,97.07751224517823
43,127.41000366210938,128.3699951171875,126.55999755859375,127.80999755859375,125.59191131591797,98208600,118.4431999206543,97.33813724517822
44,128.89999389648438,129.5800018310547,128.0399932861328,128.6999969482422,126.46649169921875,94359800,118.71559982299804,97.61548721313477
